timestamp,open,high,low,close,volume
2023-10-06 15:55:00,177.4500,177.6000,177.4050,177.4900,2664550
2023-10-06 15:50:00,177.8200,177.9200,177.4000,177.4600,1936789
2023-10-06 15:45:00,177.7550,177.9000,177.7100,177.8200,819006
2023-10-06 15:40:00,177.9200,177.9490,177.7200,177.7550,760194
2023-10-06 15:35:00,177.7450,177.9300,177.7200,177.9200,523148
2023-10-06 15:30:00,177.9350,177.9900,177.7300,177.7500,615746
2023-10-06 15:25:00,177.8000,177.9550,177.7690,177.9400,586246
2023-10-06 15:20:00,177.6110,177.8300,177.5900,177.8000,530028
2023-10-06 15:15:00,177.5750,177.6200,177.5100,177.6100,324523
2023-10-06 15:10:00,177.6150,177.6200,177.4700,177.5700,387185
2023-10-06 15:05:00,177.5100,177.6700,177.4600,177.6150,513627
2023-10-06 15:00:00,177.5350,177.6400,177.4500,177.5070,811709
2023-10-06 14:55:00,177.5050,177.5900,177.4200,177.5400,368697
2023-10-06 14:50:00,177.6000,177.6060,177.4650,177.5100,284899
2023-10-06 14:45:00,177.6200,177.7060,177.5500,177.6000,277582
2023-10-06 14:40:00,177.6180,177.6900,177.5630,177.6200,388005
2023-10-06 14:35:00,177.5190,177.6700,177.4200,177.6170,410101
2023-10-06 14:30:00,177.5300,177.5750,177.4720,177.5200,351897
2023-10-06 14:25:00,177.3200,177.5400,177.3000,177.5290,485431
2023-10-06 14:20:00,177.2300,177.3550,177.2100,177.3170,311115
2023-10-06 14:15:00,177.3220,177.3400,177.1950,177.2320,268528
2023-10-06 14:10:00,177.2900,177.3800,177.2600,177.3200,301342
2023-10-06 14:05:00,177.2900,177.3600,177.1500,177.2900,411312
2023-10-06 14:00:00,177.2750,177.3800,177.1300,177.2900,347216
2023-10-06 13:55:00,177.2480,177.3100,177.1700,177.2800,295531
2023-10-06 13:50:00,177.2700,177.3300,177.2050,177.2450,238082
2023-10-06 13:45:00,177.2000,177.3300,177.1000,177.2700,365766
2023-10-06 13:40:00,177.3600,177.3900,177.1200,177.1900,310939
2023-10-06 13:35:00,177.2590,177.3900,177.1200,177.3450,410354
